Country code	Sector code	Area	Production	Green water intensity	Blue water intensity	Grey water intensity	Total green water	Total blue water	Total grey water
"AGO"	"rmll"	"0"	"6,094"	"0"	"2"	"0"	"0"	"0"	"0"
"AGO"	"wmll"	"0"	"289,935"	"0"	"2"	"0"	"0"	"0"	"0"
"AGO"	"gmll"	"0"	"45,603"	"0"	"2"	"0"	"0"	"0"	"0"
"AGO"	"sref"	"0"	"101,960"	"0"	"1"	"0"	"0"	"0"	"0"
"AGO"	"food"	"0"	"85,637"	"0"	"2"	"0"	"0"	"0"	"0"
"AGO"	"beve"	"0"	"1,913,945"	"0"	"8"	"0"	"0"	"14"	"0"
"ALB"	"maiz"	"54,115"	"391,104"	"632"	"618"	"0"	"247"	"242"	"0"
"ALB"	"whea"	"68,469"	"249,949"	"1,120"	"13"	"255"	"280"	"3"	"64"
"ALB"	"ocer"	"17,526"	"37,143"	"1,718"	"236"	"62"	"64"	"9"	"2"
"ALB"	"puls"	"21,513"	"27,486"	"1,177"	"21"	"0"	"32"	"1"	"0"
"ALB"	"oils"	"47,002"	"119,703"	"4,348"	"549"	"5"	"521"	"66"	"1"
"ALB"	"ipot"	"9,726"	"254,543"	"146"	"62"	"33"	"37"	"16"	"8"
"ALB"	"leaf"	"9,094"	"267,869"	"106"	"88"	"59"	"28"	"24"	"16"
"ALB"	"vege"	"21,927"	"604,040"	"290"	"162"	"40"	"175"	"98"	"24"
"ALB"	"sugr"	"702"	"27,485"	"441"	"26"	"0"	"12"	"1"	"0"
"ALB"	"toba"	"1,004"	"1,693"	"2,022"	"287"	"305"	"3"	"0"	"1"
"ALB"	"cott"	"740"	"820"	"2,022"	"287"	"305"	"2"	"0"	"0"
"ALB"	"nuts"	"3,186"	"13,196"	"2,235"	"1,165"	"0"	"29"	"15"	"0"
"ALB"	"frui"	"36,463"	"790,400"	"940"	"217"	"0"	"743"	"172"	"0"
"ALB"	"ocrp"	"3,240"	"2,546"	"3,091"	"2,885"	"0"	"8"	"7"	"0"
"ALB"	"catt"	"0"	"38,544"	"7,368"	"311"	"83"	"284"	"12"	"3"
"ALB"	"milk"	"0"	"1,144,365"	"682"	"167"	"27"	"780"	"191"	"31"
"ALB"	"poul"	"0"	"15,587"	"3,904"	"1,957"	"279"	"61"	"31"	"4"
"ALB"	"eggs"	"0"	"69,544"	"2,899"	"1,495"	"211"	"202"	"104"	"15"
"ALB"	"smlr"	"0"	"34,434"	"3,774"	"388"	"5"	"130"	"13"	"0"
"ALB"	"oliv"	"0"	"14,254"	"3,472"	"1,182"	"215"	"49"	"17"	"3"
"ALB"	"aqua"	"0"	"2"	"1,629"	"179"	"166"	"0"	"0"	"0"
"ALB"	"fish"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"
"ALB"	"meat"	"0"	"16,040"	"0"	"0"	"0"	"0"	"0"	"0"
"ALB"	"fveg"	"0"	"38,834"	"0"	"2"	"0"	"0"	"0"	"0"
"ALB"	"foil"	"0"	"14,821"	"0"	"0"	"0"	"0"	"0"	"0"
"ALB"	"dair"	"0"	"248,811"	"0"	"2"	"0"	"0"	"0"	"0"
"ALB"	"mmll"	"0"	"4,734"	"0"	"2"	"0"	"0"	"0"	"0"
"ALB"	"rmll"	"0"	"0"	""	""	""	"0"	"0"	"0"
"ALB"	"wmll"	"0"	"311,866"	"0"	"2"	"0"	"0"	"1"	"0"
"ALB"	"gmll"	"0"	"1,650"	"0"	"2"	"0"	"0"	"0"	"0"
"ALB"	"sref"	"0"	"6,010"	"0"	"1"	"0"	"0"	"0"	"0"
"ALB"	"pcof"	"0"	"3,733"	"0"	"5"	"0"	"0"	"0"	"0"
"ALB"	"food"	"0"	"4,326"	"0"	"2"	"0"	"0"	"0"	"0"
"ALB"	"beve"	"0"	"81,923"	"0"	"8"	"0"	"0"	"1"	"0"
"ARE"	"maiz"	"391"	"8,942"	"946"	"198"	"268"	"8"	"2"	"2"
"ARE"	"rice"	"0"	"28,198"	"946"	"198"	"268"	"27"	"6"	"8"
"ARE"	"whea"	"0"	"114"	"1,564"	"508"	"688"	"0"	"0"	"0"
"ARE"	"ipot"	"18"	"451"	"184"	"75"	"59"	"0"	"0"	"0"
"ARE"	"leaf"	"2,576"	"137,220"	"52"	"125"	"7"	"7"	"17"	"1"
"ARE"	"vege"	"6,179"	"166,428"	"86"	"159"	"14"	"14"	"26"	"2"
"ARE"	"toba"	"15"	"215"	"141"	"201"	"84"	"0"	"0"	"0"
"ARE"	"nuts"	"1,446"	"932"	"184"	"1,437"	"114"	"0"	"1"	"0"
"ARE"	"bana"	"10"	"204"	"1,091"	"12"	"58"	"0"	"0"	"0"
"ARE"	"frui"	"39,588"	"381,106"	"3,380"	"1,505"	"73"	"1,288"	"573"	"28"
"ARE"	"catt"	"0"	"19,917"	"7,775"	"2,564"	"476"	"155"	"51"	"9"
"ARE"	"milk"	"0"	"165,497"	"867"	"410"	"54"	"143"	"68"	"9"
"ARE"	"poul"	"0"	"48,200"	"6,186"	"740"	"612"	"298"	"36"	"29"
"ARE"	"eggs"	"0"	"57,000"	"4,690"	"585"	"460"	"267"	"33"	"26"
"ARE"	"smlr"	"0"	"64,663"	"4,162"	"508"	"31"	"269"	"33"	"2"
"ARE"	"oliv"	"0"	"37,680"	"8,883"	"968"	"410"	"335"	"36"	"15"
"ARE"	"aqua"	"0"	"0"	"1,629"	"179"	"166"	"0"	"0"	"0"
"ARE"	"fish"	"0"	"76"	"0"	"0"	"0"	"0"	"0"	"0"
"ARE"	"meat"	"0"	"21,038"	"0"	"0"	"0"	"0"	"0"	"0"
"ARE"	"fsea"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"
"ARE"	"fveg"	"0"	"162,878"	"0"	"2"	"0"	"0"	"0"	"0"
"ARE"	"foil"	"0"	"391,936"	"0"	"0"	"0"	"0"	"0"	"0"
"ARE"	"dair"	"0"	"57,286"	"0"	"2"	"0"	"0"	"0"	"0"
"ARE"	"mmll"	"0"	"10,988"	"0"	"2"	"0"	"0"	"0"	"0"
"ARE"	"wmll"	"0"	"922,500"	"0"	"2"	"0"	"0"	"2"	"0"
"ARE"	"gmll"	"0"	"8,000"	"0"	"2"	"0"	"0"	"0"	"0"
"ARE"	"sref"	"0"	"1,327,948"	"0"	"1"	"0"	"0"	"1"	"0"
"ARE"	"pcof"	"0"	"6,061"	"0"	"5"	"0"	"0"	"0"	"0"
"ARE"	"food"	"0"	"62,056"	"0"	"2"	"0"	"0"	"0"	"0"
"ARE"	"beve"	"0"	"15,936"	"0"	"8"	"0"	"0"	"0"	"0"
"ARG"	"maiz"	"7,138,620"	"43,462,324"	"1,045"	"14"	"79"	"45,418"	"608"	"3,434"
"ARG"	"sorg"	"439,263"	"1,565,699"	"3,417"	"173"	"128"	"5,349"	"271"	"200"
"ARG"	"rice"	"198,170"	"1,462,348"	"1,141"	"462"	"30"	"1,669"	"676"	"44"
"ARG"	"whea"	"7,032,168"	"23,579,113"	"1,700"	"11"	"100"	"40,095"	"254"	"2,352"
"ARG"	"ocer"	"303,840"	"615,912"	"1,492"	"62"	"160"	"919"	"38"	"99"
"ARG"	"puls"	"577,259"	"763,043"	"1,429"	"25"	"233"	"1,090"	"19"	"178"
"ARG"	"gnut"	"443,864"	"921,231"	"3,357"	"45"	"29"	"3,093"	"41"	"27"
"ARG"	"oils"	"18,176,370"	"42,151,865"	"5,992"	"557"	"2"	"252,572"	"23,492"	"71"
"ARG"	"cass"	"19,405"	"194,452"	"2,440"	"0"	"122"	"474"	"0"	"24"
"ARG"	"ipot"	"67,876"	"2,340,103"	"145"	"51"	"16"	"339"	"119"	"37"
"ARG"	"spot"	"22,547"	"339,359"	"394"	"40"	"28"	"134"	"14"	"10"
"ARG"	"leaf"	"25,856"	"390,441"	"1,236"	"576"	"123"	"483"	"225"	"48"
"ARG"	"vege"	"159,350"	"2,986,719"	"285"	"174"	"36"	"850"	"518"	"108"
"ARG"	"sugr"	"457,884"	"19,039,560"	"89"	"27"	"7"	"1,695"	"514"	"133"
"ARG"	"toba"	"54,728"	"104,093"	"881"	"378"	"250"	"92"	"39"	"26"
"ARG"	"cott"	"323,582"	"817,769"	"6,128"	"768"	"423"	"5,011"	"628"	"346"
"ARG"	"nuts"	"15,333"	"19,214"	"3,352"	"854"	"209"	"64"	"16"	"4"
"ARG"	"bana"	"8,412"	"174,585"	"316"	"369"	"23"	"55"	"64"	"4"
"ARG"	"frui"	"458,007"	"7,908,576"	"568"	"222"	"44"	"4,492"	"1,759"	"348"
"ARG"	"teal"	"204,927"	"384,080"	"7,641"	"1,222"	"246"	"2,935"	"469"	"94"
"ARG"	"ocrp"	"11,789"	"18,708"	"4,937"	"1,051"	"533"	"92"	"20"	"10"
"ARG"	"catt"	"0"	"3,066,094"	"2,943"	"95"	"13"	"9,024"	"291"	"39"
"ARG"	"milk"	"0"	"10,526,600"	"501"	"22"	"11"	"5,274"	"232"	"116"
"ARG"	"poul"	"0"	"2,114,952"	"1,925"	"54"	"84"	"4,071"	"114"	"178"
"ARG"	"eggs"	"0"	"835,587"	"1,684"	"57"	"77"	"1,407"	"48"	"64"
